FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
Tianedan	Tianedan	17.6	26.8	43.7	69.3	15.5	9.8	16.6	26.1	23.3	18.6	21.5	17.9	14.9	12.2	17.6
Delsoy 4210	Delsoy 4210	15.6	26.6	40.7	66.2	15.3	9.9	16.7	27.5	23.4	18.3	20.3	18	14.1	12.4	17.5
MN413	MN413	17.8	29.1	45.3	70.8	15.6	10.1	16.3	25.4	23.6	18.8	24.1	19	16.1	12.3	17.6
Fendou 31	Fendou 31	17.8	26.4	43.5	69.3	15.2	9.7	17.5	27.7	22.8	18.7	23.3	18.4	15.3	12.7	18.9
7651-1	7651-1	17.4	25.9	43	69.4	15	9.7	15.7	25.8	22.8	17.8	22	19.2	15.9	12.7	17
L86-1436	L86-1436	17.6	27.5	45.7	73	15.6	10	16.7	26.5	23.8	19	23.5	19.2	16.2	12.7	17.5
Tiejiaohuang	Tiejiaohuang	18.4	31.7	48.8	78.1	16.4	10.8	17.2	26.6	24.8	20.8	24.1	20.6	17.1	13.2	18.7
Lu 99-7	Lu 99-7	16.5	25.5	42.6	67.9	14.7	9.3	15.4	23.7	22.4	17.7	20.2	18.3	15.4	11.6	16.7
L81-4871	L81-4871	17.6	27.7	45.5	72.6	15.5	10.2	16.4	26.5	23.7	18.8	22	19.7	16.3	12.9	17.6
Clark	Clark	17.1	26.9	45	70.6	15.1	9.9	16.4	26	23.4	18.6	23.2	19.1	15.8	12.5	17.8
Chichenglvhuangdou	Chichenglvhuangdou	18.2	31.7	48.9	79.4	16.5	10.9	17.5	28	25.1	20.3	25.9	20.5	16.5	13.9	18.9
Mustang	Mustang	17.3	30.4	49.3	72.8	16	10.7	17.2	27.2	24.9	20.2	24.6	19.3	16.3	13.7	18.2
Union	Union	18.6	30.6	49.6	74.3	16.3	10.8	17.7	28.6	25.1	20.3	24.4	20.2	16.8	13.8	18.2
Kefeng 6	Kefeng 6	17.8	29	45.2	68.2	17.4	10.3	18.3	30.4	25.3	20.3	23	18.4	16.6	12.8	16.4
Xinyangyangyandou	Xinyangyangyandou	18.6	34.8	49.2	72.5	15.7	10.5	17.1	27.8	24	20.2	24.9	19.7	16.1	13.5	18.3
Wenfeng 7	Wenfeng 7	17.2	26.9	43.2	65.2	16.3	9.8	17.2	28.9	24.4	19	23.6	17.7	15.9	12.7	15.9
Zhongpin 95-5383	Zhongpin 95-5383	16.8	27.7	47.7	75.1	16	10.2	9	22.3	23.9	18.9	27.3	19.6	17	11.7	16.7
Zhonghuang 16	Zhonghuang 16	16.9	29.2	49.3	80.7	16.1	10.5	9.4	24	24.4	19.6	28	20.9	17.2	12.5	17
Qihuang 13	Qihuang 13	16.2	28.3	47.4	73	15.8	10.1	9.2	22	23.7	19.6	25.1	19.6	16.7	11.4	17.2
Gaozuoxuan 1	Gaozuoxuan 1	15.3	25.6	42.3	65.2	14.6	9.4	8.3	21	22.1	16.8	23.4	17.4	15.2	10.7	15.3
Daheidou	Daheidou	18.1	29.9	50.6	78.6	16.5	10.8	9.5	24.1	25.1	19.5	27.5	20.7	17.2	11.9	17.1
Cansidou	Cansidou	17	29.2	49.2	74.6	15.4	9.9	9.7	25.2	24.3	19.9	25.9	20.2	16.5	12.4	16.4
L77-1794	L77-1794	16.1	28	46	62	15.1	10.1	16.2	24.6	24.1	18.2	28.9	18.5	16.3	12.4	15.1
Zheng 97210-6	Zheng 97210-6	17.3	33.1	48.7	66.4	15.9	10.7	18.2	28.8	25.2	20.6	29.5	19.2	16.9	13.5	17.1
Youbian 30	Youbian 30	16.3	32.3	47.1	62.7	15.6	10.1	16	24.6	24	19	28.2	18.2	16.1	12.1	15.2
Han 195	Han 195	16.6	31.1	43.5	70	16.2	10.4	17.9	29.3	24.1	20.6	22.5	18.6	14.5	12.8	19.2
Zaoshuheidou	Zaoshuheidou	17.9	29.3	49.5	64.8	16.6	10.6	17.8	25.9	25.2	20.7	29.2	19.1	17.7	12.8	16
Ina	Ina	17.3	27.5	47.4	61.8	16	10.7	16.9	25.6	24.8	19.4	24	18.8	17	12.7	16
Wandou 21	Wandou 21	17	30.5	47.3	64	15.6	10.1	17.1	25.4	24.5	20.4	25.1	18.5	16.7	12.1	15.7
L88-8226	L88-8226	17	28.7	47.5	64.7	15.8	10.2	16.9	26.7	24.4	19.9	27.4	18.9	16.8	12.4	15.9
Lvrouheipidou	Lvrouheipidou	18.2	39.9	51.5	69.1	16.7	11.1	17.3	26.7	26.5	20.7	27	20.4	17.9	12.9	16.4
Ooyachi-2	Ooyachi-2	17.4	30.2	48.9	67	16.3	10.6	17.6	27.5	25.3	20.7	27.4	19.7	17.5	12.8	16.2
Xiataizimoshidou	Xiataizimoshidou	17.3	32.4	48.8	65.8	16.5	11	16.7	26.3	25.2	20.4	27.8	18.8	16.9	12.5	16.1
Pixiansilicao	Pixiansilicao	16.6	29.3	42.9	64.9	14.8	9.7	16.1	25.3	22.1	17.8	24.3	16.7	15.1	11.3	16.4
Williams 82	Williams 82	17.6	25.8	44	67.7	15.2	9.8	16.8	25.9	23.4	18.3	26.3	17.9	15.9	12	16.8
Jiguan52	Jiguan52	17	27.2	43.8	67	15.2	9.6	16.3	25.1	22.5	18.5	24.4	17.4	15.5	11.3	16.5
Zhongdou 34	Zhongdou 34	17.5	27.3	44.8	67.2	15.4	9.7	16.9	26.8	23.6	18.5	22.6	18.1	16.2	12.3	16.4
